"editid","editor","oldrevisionid","newrevisionid","diffurl","class","annotators","totalannotators","edittime","editcomment","articleid","articletitle"
566091,"Hejkal",67617865,67617909,"http://de.wikipedia.org/w/index.php?diff=67617909&oldid=67617865","regular",3,4,"2009-12-04T21:36:42Z","/* Weblinks */ hat eigenes Lemma",842086,"Gerbstedt"
566092,"79.207.247.37",63379171,67077468,"http://de.wikipedia.org/w/index.php?diff=67077468&oldid=63379171","regular",4,4,"2009-11-21T11:14:12Z","/* Handlung */",3234829,"Winterreise (Film)"
566093,"Invisigoth67",67104171,67607592,"http://de.wikipedia.org/w/index.php?diff=67607592&oldid=67104171","regular",4,4,"2009-12-04T16:22:04Z","/* Parkanlagen und Friedhöfe */ linkfix",78384,"Meidling"
566094,"Wikifreund",66579739,67062900,"http://de.wikipedia.org/w/index.php?diff=67062900&oldid=66579739","regular",4,4,"2009-11-20T21:34:50Z",,190382,"Bundesstraße 64"
566095,"Androl",67437325,67441964,"http://de.wikipedia.org/w/index.php?diff=67441964&oldid=67437325","regular",4,4,"2009-11-30T11:52:19Z","/* Volksinitiativen mit hoher Stimmbeteiligung */",31054,"Volksinitiative (Schweiz)"
566096,"Bosta",60413898,67321363,"http://de.wikipedia.org/w/index.php?diff=67321363&oldid=60413898","regular",4,4,"2009-11-27T09:47:07Z","+ BKL-Hinweis und Details",1321235,"Otto Basler"
566097,"Regi51",67415028,67415044,"http://de.wikipedia.org/w/index.php?diff=67415044&oldid=67415028","regular",4,4,"2009-11-29T17:19:43Z","Änderungen von [[Special:Beiträge/91.41.133.150|91.41.133.150]] rückgängig gemacht und letzte Version von Regi51 wiederhergestellt: keine Verbesserung des Artikels",2746306,"Ökonomik in Antike und Mittelalter"
566098,"Theo Körner",67183791,67183891,"http://de.wikipedia.org/w/index.php?diff=67183891&oldid=67183791","regular",4,4,"2009-11-23T20:32:57Z","/* Flucht und Vertreibung von Deutschen seit 1944 */",22549,"Vertreibung"
566131,"Graphikus",60379294,67093149,"http://de.wikipedia.org/w/index.php?diff=67093149&oldid=60379294","regular",4,4,"2009-11-21T18:40:57Z","pd ergzt +sort",806032,"Leonti Pawlowitsch Schewzow"
566133,"109.90.42.84",67032628,67156219,"http://de.wikipedia.org/w/index.php?diff=67156219&oldid=67032628","regular",4,4,"2009-11-23T09:56:02Z",,397343,"Gefährliche Züge"
566134,"WolfgangRieger",67498112,67509542,"http://de.wikipedia.org/w/index.php?diff=67509542&oldid=67498112","regular",4,4,"2009-12-02T00:53:38Z","/* Leben */",3764399,"Lady Gaga"
566135,"79.211.219.179",59891654,67046376,"http://de.wikipedia.org/w/index.php?diff=67046376&oldid=59891654","regular",3,4,"2009-11-20T13:34:13Z","/Im Schutz der Schauenburg, oder ein Kriegsgefangener wird wieder Mensch, Bilder aus dem Leben eines Hessichen Dorfes (Hoof), Heimatschollen Verlag A. Bernecker Melsungen, Die Laienbühne Heft 3",1605598,"Heinrich Ruppel"
566136,"Zsasz",67063889,67064145,"http://de.wikipedia.org/w/index.php?diff=67064145&oldid=67063889","regular",4,4,"2009-11-20T22:12:26Z","/* Weblinks */",4896218,"Erich Kunz (Politiker)"
566137,"Ts85",67417576,67647092,"http://de.wikipedia.org/w/index.php?diff=67647092&oldid=67417576","regular",4,4,"2009-12-05T18:26:12Z","Systematik eingefügt.",3379528,"Proterosuchidae"
566138,"Lpz1976",67336061,67336129,"http://de.wikipedia.org/w/index.php?diff=67336129&oldid=67336061","regular",4,4,"2009-11-27T15:54:59Z","/* B */ 15jähriger Posaunist entfernt",393169,"Liste von Posaunisten"
566139,"Si! SWamP",67016122,67411222,"http://de.wikipedia.org/w/index.php?diff=67411222&oldid=67016122","regular",4,4,"2009-11-29T15:55:30Z","/* Filmografie (Auswahl) */ Si! - link",4892710,"Annabella Incontrera"
566160,"Uoeia",60602100,67663348,"http://de.wikipedia.org/w/index.php?diff=67663348&oldid=60602100","regular",4,4,"2009-12-06T09:12:56Z",,3211490,"Collège international de philosophie"
566161,"Hozro",67304153,67304169,"http://de.wikipedia.org/w/index.php?diff=67304169&oldid=67304153","regular",4,4,"2009-11-26T19:44:40Z","Änderungen von [[Special:Contributions/91.96.221.197|91.96.221.197]] ([[User talk:91.96.221.197|Diskussion]]) rückgängig gemacht und letzte Version von [[User:Howwi|Howwi]] wiederhergestellt",22935,"Minotauros"
566162,"JD",67285154,67289497,"http://de.wikipedia.org/w/index.php?diff=67289497&oldid=67285154","regular",4,4,"2009-11-26T13:34:02Z","Änderungen von [[Special:Contributions/JøMa|JøMa]] ([[User talk:JøMa|Diskussion]]) rückgängig gemacht und letzte Version von [[User:PSS|PSS]] wiederhergestellt",465847,"Niedernberg"
566163,"Michael Kühntopf",67429541,67429555,"http://de.wikipedia.org/w/index.php?diff=67429555&oldid=67429541","regular",4,4,"2009-11-30T00:05:47Z",,4919447,"Richard Lert"
566164,"Schlauwiestrumpf",67085599,67088115,"http://de.wikipedia.org/w/index.php?diff=67088115&oldid=67085599","regular",4,4,"2009-11-21T16:28:53Z","/* Bauwerke */ Typo",733124,"Plauen"
566165,"217.80.165.227",67078467,67078493,"http://de.wikipedia.org/w/index.php?diff=67078493&oldid=67078467","regular",3,4,"2009-11-21T11:43:44Z","/* Solo-Singles */",744120,"Mýa"
566168,"88.69.6.97",66922709,67020227,"http://de.wikipedia.org/w/index.php?diff=67020227&oldid=66922709","vandalism",28,28,"2009-11-19T19:11:53Z","/* Maare der Eifel */",74325,"Maar"
566169,"129.194.8.73",65157150,67263290,"http://de.wikipedia.org/w/index.php?diff=67263290&oldid=65157150","regular",4,4,"2009-11-25T18:42:51Z",,720637,"Junge Europäische Föderalisten"
566190,"Weißwange",66789478,67250027,"http://de.wikipedia.org/w/index.php?diff=67250027&oldid=66789478","regular",4,4,"2009-11-25T13:29:30Z","/* T */ Tauernfenster W",4731889,"Liste von Geologen"
566191,"Connum",67679939,67679980,"http://de.wikipedia.org/w/index.php?diff=67679980&oldid=67679939","regular",4,4,"2009-12-06T16:37:56Z","/* Coverversionen */",4936564,"Nikita (Lied)"
566193,"Singener",67102702,67102784,"http://de.wikipedia.org/w/index.php?diff=67102784&oldid=67102702","regular",4,4,"2009-11-21T23:31:01Z","/* Kritik */",572842,"Tafel (Organisation)"
566195,"Mnh",63819375,67236340,"http://de.wikipedia.org/w/index.php?diff=67236340&oldid=63819375","regular",4,4,"2009-11-25T05:00:28Z","+Bild (nicht das Beste, aber Sikhs auf Commons sind rar)",270085,"Dastar"
566196,"€pa",67480878,67491785,"http://de.wikipedia.org/w/index.php?diff=67491785&oldid=67480878","regular",4,4,"2009-12-01T16:20:28Z","/* Literatur */ +1 (zentral), - 2 (viel zu allgemein)",1057242,"Philosophische Anthropologie"
566197,"Final Pain",67174161,67174419,"http://de.wikipedia.org/w/index.php?diff=67174419&oldid=67174161","regular",3,4,"2009-11-23T17:00:13Z","Box etwas vergrößert für bessere Übersichtlichkeit",4897124,"Untitled (Korn)"
566198,"Rufus46",66877984,67035918,"http://de.wikipedia.org/w/index.php?diff=67035918&oldid=66877984","regular",4,4,"2009-11-20T07:52:05Z","doppeltes Wort entfernt",71836,"Vanitas"
566199,"Bötsy",67310996,67311707,"http://de.wikipedia.org/w/index.php?diff=67311707&oldid=67310996","regular",4,4,"2009-11-26T22:59:33Z","wikifiziert",4912122,"Kinderbach (Pfrimm)"
566231,"Joeb07",66926434,67374472,"http://de.wikipedia.org/w/index.php?diff=67374472&oldid=66926434","regular",4,4,"2009-11-28T16:55:11Z","Änderungen von [[Special:Contributions/217.235.39.30|217.235.39.30]] ([[User talk:217.235.39.30|Diskussion]]) rückgängig gemacht und letzte Version von [[User:Waterloo1974|Waterloo1974]] wiederhergestellt",3139486,"Guts Muts Dresden"
566233,"62.227.217.22",62801604,67047016,"http://de.wikipedia.org/w/index.php?diff=67047016&oldid=62801604","regular",4,4,"2009-11-20T13:52:32Z","/* Leben */",1913466,"Diogenes von Apollonia"
566234,"84.178.219.177",67156726,67157080,"http://de.wikipedia.org/w/index.php?diff=67157080&oldid=67156726","regular",3,4,"2009-11-23T10:18:33Z","/* Geschichte */",4872771,"Die Komödie"
566235,"Howwi",67115698,67115730,"http://de.wikipedia.org/w/index.php?diff=67115730&oldid=67115698","regular",4,4,"2009-11-22T11:49:33Z","Änderung 67115698 von [[Special:Contributions/88.117.25.133|88.117.25.133]] wurde rückgängig gemacht. Grund: [[WP:BLG|unbelegte Bearbeitung]]",3968994,"J. D. Sumner"
566236,"Cimbom1991",66579139,67140430,"http://de.wikipedia.org/w/index.php?diff=67140430&oldid=66579139","regular",4,4,"2009-11-22T20:39:12Z",,1761197,"Elano"
566237,"Wondigoma",67033386,67033387,"http://de.wikipedia.org/w/index.php?diff=67033387&oldid=67033386","regular",4,4,"2009-11-20T03:49:15Z",,582095,"Inetd"
566238,"84.137.23.170",66906133,67079047,"http://de.wikipedia.org/w/index.php?diff=67079047&oldid=66906133","regular",4,4,"2009-11-21T12:01:45Z","/* Schadstoffe in JAKO-Trikots */ aussetzung des verkaufes durch Eintracht Frankfurt",1435559,"JAKO"
566239,"Graveworm",67296379,67358189,"http://de.wikipedia.org/w/index.php?diff=67358189&oldid=67296379","regular",4,4,"2009-11-28T09:18:14Z","/* Beginn der Filmkarriere */",28032,"Tom Waits"
566260,"GitGerl",53346510,67302112,"http://de.wikipedia.org/w/index.php?diff=67302112&oldid=53346510","regular",4,4,"2009-11-26T18:50:48Z","Quelle BBKL erg.",131389,"Franz Brandts"
566261,"Wurstwicht",67408588,67420963,"http://de.wikipedia.org/w/index.php?diff=67420963&oldid=67408588","regular",3,4,"2009-11-29T19:41:06Z","/* Super-G */",4464807,"Alpiner Skiweltcup 2009/2010"
566262,"217.231.213.242",67241311,67241333,"http://de.wikipedia.org/w/index.php?diff=67241333&oldid=67241311","regular",3,4,"2009-11-25T09:41:55Z","/* Partei */",665625,"Anette Kramme"
566263,"84.137.66.21",66592145,67086538,"http://de.wikipedia.org/w/index.php?diff=67086538&oldid=66592145","vandalism",3,4,"2009-11-21T15:44:48Z","/* Grundloser See */",2898117,"Grundloses Moor"
566264,"Marzahn",67098599,67098624,"http://de.wikipedia.org/w/index.php?diff=67098624&oldid=67098599","regular",4,4,"2009-11-21T21:21:38Z",,4894947,"Liste belgischer Hoflieferanten"
