"editid","editor","oldrevisionid","newrevisionid","diffurl","class","annotators","totalannotators","edittime","editcomment","articleid","articletitle"
613530,"186.86.34.155",42229520,42229540,"http://es.wikipedia.org/w/index.php?diff=42229540&oldid=42229520","regular",1,1,"2010-12-02T18:57:21Z",,225137,"Los Fabulosos Cadillacs"
613531,"201.91.25.98",40655400,41823907,"http://es.wikipedia.org/w/index.php?diff=41823907&oldid=40655400","regular",1,1,"2010-11-16T13:23:26Z","/* Enlaces externos */",3022893,"Garelli"
613532,"83.37.103.178",40112032,41831181,"http://es.wikipedia.org/w/index.php?diff=41831181&oldid=40112032","vandalism",1,1,"2010-11-16T19:29:29Z",,2791177,"Bedřich Smetana"
613533,"Raikoler",42195946,42195955,"http://es.wikipedia.org/w/index.php?diff=42195955&oldid=42195946","vandalism",1,1,"2010-12-01T10:37:36Z","/* Enlaces externos */",704885,"Euro Millones"
613534,"Raulgomez",42155761,42155779,"http://es.wikipedia.org/w/index.php?diff=42155779&oldid=42155761","regular",1,1,"2010-11-29T18:16:56Z","/* Fotodiodo */",565789,"Fotorreceptor"
613535,"190.73.8.218",42180132,42180165,"http://es.wikipedia.org/w/index.php?diff=42180165&oldid=42180132","regular",1,1,"2010-11-30T18:23:27Z",,780598,"Nicolás Fedor"
613536,"MBAUSM",42205880,42205895,"http://es.wikipedia.org/w/index.php?diff=42205895&oldid=42205880","regular",1,1,"2010-12-01T19:09:27Z",,198410,"Maestría en Administración de Negocios"
613537,"Macarenaricconi",42177239,42177269,"http://es.wikipedia.org/w/index.php?diff=42177269&oldid=42177239","regular",1,1,"2010-11-30T16:17:35Z",,2192991,"Josh Farro"
613538,"Diegoalvarezar",42181598,42181643,"http://es.wikipedia.org/w/index.php?diff=42181643&oldid=42181598","regular",1,1,"2010-11-30T19:20:52Z",,3129118,"Potenciación a largo plazo"
613539,"Ary29",41220977,41732320,"http://es.wikipedia.org/w/index.php?diff=41732320&oldid=41220977","regular",1,1,"2010-11-12T14:54:09Z","it",1383137,"Calixto García (Holguín)"
613540,"Alicia M. Canto",42009120,42176810,"http://es.wikipedia.org/w/index.php?diff=42176810&oldid=42009120","regular",1,1,"2010-11-30T15:55:27Z","Algunas otras adiciones, detalles y referencias sobre su tiempo final y enterramientos. Enlace al artículo de Jesús Rubio.",7304,"Gustavo Adolfo Bécquer"
613541,"88.27.241.123",41486766,42180365,"http://es.wikipedia.org/w/index.php?diff=42180365&oldid=41486766","vandalism",1,1,"2010-11-30T18:31:32Z",,181797,"Bambi"
613542,"Robertoe",41729885,41729898,"http://es.wikipedia.org/w/index.php?diff=41729898&oldid=41729885","regular",1,1,"2010-11-12T12:37:22Z",,326170,"John Harsanyi"
613543,"201.156.39.69",41659863,41832303,"http://es.wikipedia.org/w/index.php?diff=41832303&oldid=41659863","vandalism",1,1,"2010-11-16T20:11:00Z","/* Socios */",521947,"Fondo Mundial para la Naturaleza"
613544,"Aloneibar",41803597,41803635,"http://es.wikipedia.org/w/index.php?diff=41803635&oldid=41803597","regular",1,1,"2010-11-15T16:11:35Z","/* Regatas */",3077748,"La clase snipe en España"
613545,"Wikisilki",42206969,42208319,"http://es.wikipedia.org/w/index.php?diff=42208319&oldid=42206969","regular",1,1,"2010-12-01T20:47:30Z","Revertidos los cambios de [[Special:Contributions/190.232.91.182|190.232.91.182]] ([[User talk:190.232.91.182|disc.]]) a la última edición de Diegusjaimes",689592,"Filosofía"
613546,"Jessika Marbelle",42224816,42224826,"http://es.wikipedia.org/w/index.php?diff=42224826&oldid=42224816","regular",1,1,"2010-12-02T15:29:39Z",,4334741,"Carina Cruz"
613547,"200.12.27.10",39067457,42225629,"http://es.wikipedia.org/w/index.php?diff=42225629&oldid=39067457","regular",1,1,"2010-12-02T16:09:11Z",,549655,"Mariano Ruiz-Esquide"
613548,"Abece",41158563,42177303,"http://es.wikipedia.org/w/index.php?diff=42177303&oldid=41158563","regular",1,1,"2010-11-30T16:18:43Z","Ortografía: En este caso, en la expresión aun así, aun no lleva tilde, ya que es sustituible por incluso/hasta.",658600,"María Antonia Berger"
613549,"80.230.40.174",41926905,42210479,"http://es.wikipedia.org/w/index.php?diff=42210479&oldid=41926905","regular",1,1,"2010-12-01T22:19:46Z","/* www.exoplanetas.com.ar */",69833,"Planeta extrasolar"
613550,"Marinna",42155262,42156208,"http://es.wikipedia.org/w/index.php?diff=42156208&oldid=42155262","regular",1,1,"2010-11-29T18:36:50Z",,418481,"Leslie Nielsen"
613551,"85.91.81.92",41532324,41822906,"http://es.wikipedia.org/w/index.php?diff=41822906&oldid=41532324","vandalism",1,1,"2010-11-16T12:02:03Z","/* La construcción */",98856,"Stonehenge"
613552,"Felipeslp87",42207825,42210161,"http://es.wikipedia.org/w/index.php?diff=42210161&oldid=42207825","regular",1,1,"2010-12-01T22:06:20Z","tu no puedes eliminar información por que te de la gana, para eso existen las pestañas de referencias.",412319,"Paseo de la Reforma"
613553,"Miss Manzana",42006189,42207402,"http://es.wikipedia.org/w/index.php?diff=42207402&oldid=42006189","regular",1,1,"2010-12-01T20:08:59Z",,134977,"Super Mario World"
613554,"213.60.19.172",42196244,42196349,"http://es.wikipedia.org/w/index.php?diff=42196349&oldid=42196244","regular",1,1,"2010-12-01T11:09:54Z","/* Datos del club */",160006,"Pontevedra Club de Fútbol"
613555,"Lecuona",41804448,41804461,"http://es.wikipedia.org/w/index.php?diff=41804461&oldid=41804448","regular",1,1,"2010-11-15T16:49:04Z","/* Franconia en Baden-Württemberg */",396193,"Franconia"
613556,"201.238.137.110",42166140,42223938,"http://es.wikipedia.org/w/index.php?diff=42223938&oldid=42166140","regular",1,1,"2010-12-02T14:44:51Z","/* Charts */",2820512,"Kiss & Tell"
613557,"Techarrow",41733447,41734046,"http://es.wikipedia.org/w/index.php?diff=41734046&oldid=41733447","regular",1,1,"2010-11-12T16:18:47Z",,733707,"Phil Brooks"
613558,"88.1.86.167",41732668,41732722,"http://es.wikipedia.org/w/index.php?diff=41732722&oldid=41732668","vandalism",1,1,"2010-11-12T15:16:02Z","/* Historia */",7948,"Villalba de Rioja"
613559,"Mansoncc",41729074,41733061,"http://es.wikipedia.org/w/index.php?diff=41733061&oldid=41729074","regular",1,1,"2010-11-12T15:33:20Z","Revirtiendo 1 edición por [[Special:Contributions/195.195.245.20|195.195.245.20]]. ([[w:es:WP:TW|TW]])",521031,"Christopher Von Uckermann"
613560,"DeportivoCarlos",42176974,42176987,"http://es.wikipedia.org/w/index.php?diff=42176987&oldid=42176974","regular",1,1,"2010-11-30T16:05:47Z","/* La Liga 99/00 */",3076683,"Historia del Real Club Deportivo de La Coruña"
613561,"Antur",42178459,42178467,"http://es.wikipedia.org/w/index.php?diff=42178467&oldid=42178459","regular",1,1,"2010-11-30T17:12:44Z",,4331240,"Cambio organizacional"
613562,"Dodo",42207518,42207615,"http://es.wikipedia.org/w/index.php?diff=42207615&oldid=42207518","regular",1,1,"2010-12-01T20:17:26Z",,53139,"Ninfa"
613563,"Leonpolanco",42015552,42222888,"http://es.wikipedia.org/w/index.php?diff=42222888&oldid=42015552","regular",1,1,"2010-12-02T13:47:33Z","Corrigiendo enlace",2603894,"Eduardo Carrasco (cantautor)"
613564,"79.155.84.116",42207507,42207685,"http://es.wikipedia.org/w/index.php?diff=42207685&oldid=42207507","vandalism",1,1,"2010-12-01T20:20:29Z",,215991,"Congregación de los Hermanos Maristas"
613565,"Luis1970",41416041,42228505,"http://es.wikipedia.org/w/index.php?diff=42228505&oldid=41416041","regular",1,1,"2010-12-02T18:15:08Z",,2310319,"María Magdalena: Pecadora de Magdala"
613566,"186.36.102.79",42225534,42225615,"http://es.wikipedia.org/w/index.php?diff=42225615&oldid=42225534","regular",1,1,"2010-12-02T16:08:48Z","/* Nacimientos */",4390,"5 de diciembre"
613567,"Luis1970",42205472,42206942,"http://es.wikipedia.org/w/index.php?diff=42206942&oldid=42205472","regular",1,1,"2010-12-01T19:52:44Z","/* Enlaces externos */",4212362,"San Martín del Camino"
613568,"Chirybuky",41537878,41831042,"http://es.wikipedia.org/w/index.php?diff=41831042&oldid=41537878","regular",1,1,"2010-11-16T19:23:46Z","corregido enlace verison en ingles",4040074,"Stylo"
613569,"84.123.53.99",42196467,42196474,"http://es.wikipedia.org/w/index.php?diff=42196474&oldid=42196467","regular",1,1,"2010-12-01T11:21:20Z","/* Demografía */",315723,"La Yesa"
613570,"85.53.72.172",42221837,42224741,"http://es.wikipedia.org/w/index.php?diff=42224741&oldid=42221837","regular",1,1,"2010-12-02T15:24:43Z","/* Alumnos */",1422252,"Física o Química"
613571,"190.226.118.108",42197508,42197574,"http://es.wikipedia.org/w/index.php?diff=42197574&oldid=42197508","regular",1,1,"2010-12-01T12:54:43Z",,2176394,"C.S y D. Juvenil del Norte"
613572,"Superzerocool",42221944,42222017,"http://es.wikipedia.org/w/index.php?diff=42222017&oldid=42221944","regular",1,1,"2010-12-02T12:55:42Z","/* Referencias */ Quitando categorías repetidas",3076683,"Historia del Real Club Deportivo de La Coruña"
613573,"Diegusjaimes",40929445,42200024,"http://es.wikipedia.org/w/index.php?diff=42200024&oldid=40929445","regular",1,1,"2010-12-01T15:12:34Z","[[:en:WP:CLEANER|WikiCleaner]] 0.99 - Corrigiendo error, ¡[[PR:CEM|Puedes ayudar]]! - [[Mediterráneo]]",2016933,"Agricultura en el Antiguo Egipto"
613574,"217.127.116.158",41732098,41732118,"http://es.wikipedia.org/w/index.php?diff=41732118&oldid=41732098","vandalism",1,1,"2010-11-12T14:43:02Z","/* Historia */",132576,"Huevo frito"
613575,"217.127.239.201",42224248,42226473,"http://es.wikipedia.org/w/index.php?diff=42226473&oldid=42224248","regular",1,1,"2010-12-02T16:52:13Z",,1026683,"Monterrubio (Segovia)"
613576,"Alfabetagamma",42226381,42226386,"http://es.wikipedia.org/w/index.php?diff=42226386&oldid=42226381","regular",1,1,"2010-12-02T16:46:36Z",,501346,"Ayuntamiento de Madrid"
613577,"89.128.105.231",41550885,41826087,"http://es.wikipedia.org/w/index.php?diff=41826087&oldid=41550885","vandalism",1,1,"2010-11-16T15:36:52Z","/* Orígenes y juventud */",5704,"Séneca"
613578,"190.49.245.159",42093341,42154604,"http://es.wikipedia.org/w/index.php?diff=42154604&oldid=42093341","regular",1,1,"2010-11-29T17:25:28Z","/* Temporada */",3172979,"Temporada 2010 de GP2 Series"
613579,"87.219.191.62",42206071,42209865,"http://es.wikipedia.org/w/index.php?diff=42209865&oldid=42206071","regular",1,1,"2010-12-01T21:53:31Z","/* Noguera del Arco */",168610,"Socovos"
613580,"190.40.126.79",42198614,42198700,"http://es.wikipedia.org/w/index.php?diff=42198700&oldid=42198614","regular",1,1,"2010-12-01T14:10:53Z",,101231,"Francisco Morales Bermúdez"
613581,"Galandil",42127261,42127268,"http://es.wikipedia.org/w/index.php?diff=42127268&oldid=42127261","regular",1,1,"2010-11-28T16:58:13Z","Revertir 2 cambios de [[Special:Contributions/186.184.234.144|186.184.234.144]] y [[Special:Contributions/190.134.130.211|190.134.130.211]] a la última edición de 24.232.102.8",96739,"Albus Dumbledore"
613582,"186.16.82.182",41729979,41730075,"http://es.wikipedia.org/w/index.php?diff=41730075&oldid=41729979","regular",1,1,"2010-11-12T12:48:52Z",,2335987,"Ruta 1 (Paraguay)"
613583,"Qoan",41771985,42226004,"http://es.wikipedia.org/w/index.php?diff=42226004&oldid=41771985","regular",1,1,"2010-12-02T16:27:59Z","Escudo oficial",3547816,"Las Chozas (Villena)"
613584,"77.228.135.56",41099850,41805254,"http://es.wikipedia.org/w/index.php?diff=41805254&oldid=41099850","regular",1,1,"2010-11-15T17:29:01Z","/* Enlaces externos */",3175326,"Dispositivo de apertura automática"
613585,"80.30.45.140",41638960,41825681,"http://es.wikipedia.org/w/index.php?diff=41825681&oldid=41638960","regular",1,1,"2010-11-16T15:16:05Z","/* Datos socioeconómicos */",81371,"Parla"
613586,"79.155.84.116",41829746,42207507,"http://es.wikipedia.org/w/index.php?diff=42207507&oldid=41829746","vandalism",1,1,"2010-12-01T20:12:56Z",,215991,"Congregación de los Hermanos Maristas"
613587,"200.113.55.122",41814399,41822940,"http://es.wikipedia.org/w/index.php?diff=41822940&oldid=41814399","vandalism",1,1,"2010-11-16T12:04:27Z","/* Vida personal */",997736,"Dalip Singh"
613588,"D-Melx",41801743,41802486,"http://es.wikipedia.org/w/index.php?diff=41802486&oldid=41801743","regular",1,1,"2010-11-15T15:16:58Z",,4306736,"Last Window: El secreto de Cape West"
613589,"Sygma",41733226,41733445,"http://es.wikipedia.org/w/index.php?diff=41733445&oldid=41733226","regular",1,1,"2010-11-12T15:52:05Z","/* Lista de campeones */",133782,"WWE World Tag Team Championship"
613590,"87.222.209.85",42180807,42180950,"http://es.wikipedia.org/w/index.php?diff=42180950&oldid=42180807","regular",1,1,"2010-11-30T18:55:41Z","/* Morfología */",46269,"Sus scrofa"
613591,"Edwod2001",41656665,42203665,"http://es.wikipedia.org/w/index.php?diff=42203665&oldid=41656665","regular",1,1,"2010-12-01T17:28:05Z","Categorización - Ajuste",4296767,"Marguerite Donlon"
613592,"201.238.40.36",42210178,42210290,"http://es.wikipedia.org/w/index.php?diff=42210290&oldid=42210178","regular",1,1,"2010-12-01T22:11:24Z",,4333644,"Sabrina (telenovela)"
613593,"Petruss",41730586,41730592,"http://es.wikipedia.org/w/index.php?diff=41730592&oldid=41730586","regular",1,1,"2010-11-12T13:15:06Z","Revertidos los cambios de [[Special:Contributions/190.228.228.126|190.228.228.126]] ([[User talk:190.228.228.126|disc.]]) a la última edición de Petruss",11585,"Espectro electromagnético"
613594,"212.122.98.117",42149025,42153730,"http://es.wikipedia.org/w/index.php?diff=42153730&oldid=42149025","regular",1,1,"2010-11-29T16:42:21Z","/* Distinciones individuales */ Conocimientos propios",97193,"Club Atlético de Madrid"
613595,"Mpeinadopa",42223903,42223918,"http://es.wikipedia.org/w/index.php?diff=42223918&oldid=42223903","regular",1,1,"2010-12-02T14:43:23Z","Revertido a la revisión 42222898 hecha por [[Special:Contributions/PatruBOT|PatruBOT]]. ([[w:es:WP:TW|TW]])",21111,"Embarazo"
613596,"Fanshone",41145966,42199287,"http://es.wikipedia.org/w/index.php?diff=42199287&oldid=41145966","regular",1,1,"2010-12-01T14:40:42Z",,4250901,"Luisa Garmendia Alurralde"
613597,"Webmastermisionesperanza",41796508,41804653,"http://es.wikipedia.org/w/index.php?diff=41804653&oldid=41796508","regular",1,1,"2010-11-15T16:57:37Z","/* La Hermana Theresa Varela */",4299467,"Theresa Varela"
613598,"Shinichi",42197355,42199186,"http://es.wikipedia.org/w/index.php?diff=42199186&oldid=42197355","regular",1,1,"2010-12-01T14:35:12Z","/* Trofeo Zamora */",3388498,"Primera División de España 2010/11"
613599,"200.87.9.34",41823447,41823476,"http://es.wikipedia.org/w/index.php?diff=41823476&oldid=41823447","regular",1,1,"2010-11-16T12:47:01Z",,47925,"Selección de fútbol de España"
613600,"189.221.248.5",42000467,42205633,"http://es.wikipedia.org/w/index.php?diff=42205633&oldid=42000467","regular",1,1,"2010-12-01T18:56:36Z","/* Color primario */",209763,"Color secundario"
613601,"88.19.117.0",39623377,41798648,"http://es.wikipedia.org/w/index.php?diff=41798648&oldid=39623377","regular",1,1,"2010-11-15T10:32:10Z",,704362,"Rey Pescador"
613602,"Bejeresi",42178589,42178651,"http://es.wikipedia.org/w/index.php?diff=42178651&oldid=42178589","regular",1,1,"2010-11-30T17:19:54Z","/* Empresa Roque Vassalli */",431486,"Firmat"
613603,"Qoan",42175562,42175592,"http://es.wikipedia.org/w/index.php?diff=42175592&oldid=42175562","regular",1,1,"2010-11-30T15:02:20Z","rv",72225,"Brujería"
613604,"Gorigori",41731970,41733025,"http://es.wikipedia.org/w/index.php?diff=41733025&oldid=41731970","regular",1,1,"2010-11-12T15:31:45Z",,398014,"Santiago Brouard"
613605,"87.223.139.18",41698854,42179815,"http://es.wikipedia.org/w/index.php?diff=42179815&oldid=41698854","vandalism",1,1,"2010-11-30T18:09:00Z","/* Otros principales */",125675,"Urusei Yatsura"
613606,"Loqu",42190739,42203544,"http://es.wikipedia.org/w/index.php?diff=42203544&oldid=42190739","regular",1,1,"2010-12-01T17:22:20Z","El nombre geográfico no lleva el apelativo Real, que sólo era aplicable a la ciudad cuando se llamaba igual que la isla. Con respecto a lo del puente, vendría bien alguna fuente.",2137561,"San Fernando (Cádiz)"
613607,"Diegusjaimes",41826058,41826060,"http://es.wikipedia.org/w/index.php?diff=41826060&oldid=41826058","regular",1,1,"2010-11-16T15:35:20Z","Revertidos los cambios de [[Special:Contributions/190.209.61.182|190.209.61.182]] a la última edición de Diegusjaimes",2067038,"Vojislav Šešelj"
613608,"EsterPastor",41763023,41830824,"http://es.wikipedia.org/w/index.php?diff=41830824&oldid=41763023","regular",1,1,"2010-11-16T19:15:48Z",,4303765,"Manuel Rivera (pintor)"
613609,"95.63.212.100",42157705,42220052,"http://es.wikipedia.org/w/index.php?diff=42220052&oldid=42157705","regular",1,1,"2010-12-02T10:39:18Z","/* Sinopsis */",1328,"Blade Runner"
613610,"82.213.160.58",41807001,41824721,"http://es.wikipedia.org/w/index.php?diff=41824721&oldid=41807001","vandalism",1,1,"2010-11-16T14:18:48Z",,8196,"Ludopatía"
613611,"200.48.5.217",42151222,42156232,"http://es.wikipedia.org/w/index.php?diff=42156232&oldid=42151222","vandalism",1,1,"2010-11-29T18:37:58Z",,126808,"Envidia"
613612,"190.177.91.133",42208668,42209236,"http://es.wikipedia.org/w/index.php?diff=42209236&oldid=42208668","regular",1,1,"2010-12-01T21:25:25Z",,377458,"Anne Hathaway"
613613,"148.226.195.10",42180034,42180271,"http://es.wikipedia.org/w/index.php?diff=42180271&oldid=42180034","regular",1,1,"2010-11-30T18:27:57Z","/* Comidas tipicas: */",247781,"Mapastepec"
613614,"Sabbut",41822202,41822209,"http://es.wikipedia.org/w/index.php?diff=41822209&oldid=41822202","regular",1,1,"2010-11-16T11:04:57Z","Revertidos los cambios de [[Special:Contributions/90.164.17.197|90.164.17.197]] ([[User talk:90.164.17.197|disc.]]) a la última edición de Rosymonterrey",137365,"Frank de Boer"
613615,"190.125.118.107",41701812,42229328,"http://es.wikipedia.org/w/index.php?diff=42229328&oldid=41701812","regular",1,1,"2010-12-02T18:48:44Z","/* Plantilla 2011 */",327450,"Depor Fútbol Club"
613616,"Valencian",41733375,41733414,"http://es.wikipedia.org/w/index.php?diff=41733414&oldid=41733375","regular",1,1,"2010-11-12T15:50:52Z",,424556,"Pere March"
613617,"Petronas",41810173,41825293,"http://es.wikipedia.org/w/index.php?diff=41825293&oldid=41810173","regular",1,1,"2010-11-16T14:56:48Z","Revertidos los cambios de [[Special:Contributions/79.109.109.74|79.109.109.74]] ([[User talk:79.109.109.74|disc.]]) a la última edición de Luckas-bot",401738,"Campos de concentración franquistas"
613618,"Wiki Wikardo",41843128,42155891,"http://es.wikipedia.org/w/index.php?diff=42155891&oldid=41843128","regular",1,1,"2010-11-29T18:22:04Z",,8006,"Trinidad y Tobago"
613619,"190.230.15.33",41704375,42223843,"http://es.wikipedia.org/w/index.php?diff=42223843&oldid=41704375","vandalism",1,1,"2010-12-02T14:39:28Z","/* Jugadores Destacados */",1433639,"Belgrano Athletic Club"
613620,"88.7.250.249",42230221,42230589,"http://es.wikipedia.org/w/index.php?diff=42230589&oldid=42230221","regular",1,1,"2010-12-02T19:40:32Z",,4335074,"Mona Hatoum"
613621,"Hybridmod",41798799,41798851,"http://es.wikipedia.org/w/index.php?diff=41798851&oldid=41798799","regular",1,1,"2010-11-15T10:54:57Z","/* Modificaciones no tan comunes */",280120,"Hardmodding"
613622,"Oblongo",42226627,42226647,"http://es.wikipedia.org/w/index.php?diff=42226647&oldid=42226627","regular",1,1,"2010-12-02T17:00:09Z","/* Origen alternativo según algunas Iglesias cristianas */",174643,"Árbol de Navidad"
613623,"P4K1T0",41100003,42198502,"http://es.wikipedia.org/w/index.php?diff=42198502&oldid=41100003","regular",1,1,"2010-12-01T13:59:10Z",,304513,"Naxos (isla)"
613624,"84.122.153.112",41706644,41731085,"http://es.wikipedia.org/w/index.php?diff=41731085&oldid=41706644","vandalism",1,1,"2010-11-12T13:47:24Z","/* Lista de todos los ganadores del Trofeo Pichichi */",105464,"Trofeo Pichichi"
613625,"Campeones 2008",42198557,42198656,"http://es.wikipedia.org/w/index.php?diff=42198656&oldid=42198557","regular",1,1,"2010-12-01T14:08:25Z",,3199628,"Candidatura Ibérica para la Copa Mundial de Fútbol 2018"
613626,"186.56.224.165",41762537,41830990,"http://es.wikipedia.org/w/index.php?diff=41830990&oldid=41762537","regular",1,1,"2010-11-16T19:22:01Z",,4096728,"Teenage Dream (álbum de Katy Perry)"
613627,"190.99.138.19",41710292,41822961,"http://es.wikipedia.org/w/index.php?diff=41822961&oldid=41710292","regular",1,1,"2010-11-16T12:06:22Z","/* Miembros */",1846748,"The Mills"
613628,"Anen87",42230674,42230875,"http://es.wikipedia.org/w/index.php?diff=42230875&oldid=42230674","regular",1,1,"2010-12-02T19:50:00Z","/* Carrera */",4308675,"Magdalena Frackowiak"
613629,"Marsal20",41980702,42228864,"http://es.wikipedia.org/w/index.php?diff=42228864&oldid=41980702","regular",1,1,"2010-12-02T18:29:54Z","/* Fuentes bíblicas */",26082,"Mateo el Evangelista"
613630,"JGabriel ar",41771133,41826331,"http://es.wikipedia.org/w/index.php?diff=41826331&oldid=41771133","regular",1,1,"2010-11-16T15:48:02Z",,82867,"Soda Stereo"
